,language,sentence_style,total,correct,accuracy,true_error_count,unknown_count,error_m_to_f,error_m_to_u,error_f_to_m,error_f_to_u,error_d_to_m,error_d_to_f,error_d_to_u,error_m_to_n,error_f_to_n,scope,pairing
31,ar,4,1060,811,0.7650943396226415,71,178,10,65,61,113,0,0,0,0,0,style_4,
32,ru,4,1060,558,0.5264150943396226,419,83,32,40,379,43,0,0,0,4,4,style_4,
33,uk,4,1060,642,0.6056603773584905,356,62,11,25,338,37,0,0,0,3,4,style_4,
34,he,4,1060,949,0.8952830188679245,111,0,109,0,2,0,0,0,0,0,0,style_4,
35,es,6,530,223,0.4207547169811321,200,107,56,52,144,55,0,0,0,0,0,names,neutral
36,fr,6,530,330,0.6226415094339622,57,143,14,62,43,81,0,0,0,0,0,names,neutral
37,it,6,530,221,0.4169811320754717,200,109,36,55,164,54,0,0,0,0,0,names,neutral
38,ar,6,530,209,0.39433962264150946,199,122,78,59,121,63,0,0,0,0,0,names,neutral
39,ru,6,530,235,0.44339622641509435,232,63,24,32,191,31,0,0,0,8,9,names,neutral
40,uk,6,530,232,0.4377358490566038,231,67,26,32,191,35,0,0,0,7,7,names,neutral
41,he,6,530,384,0.7245283018867924,146,0,146,0,0,0,0,0,0,0,0,names,neutral
42,es,6,265,187,0.7056603773584905,24,54,24,54,0,0,0,0,0,0,0,names,masculine
43,fr,6,265,194,0.7320754716981132,6,65,6,65,0,0,0,0,0,0,0,names,masculine
44,it,6,265,194,0.7320754716981132,23,48,23,48,0,0,0,0,0,0,0,names,masculine
45,ar,6,265,215,0.8113207547169812,8,42,8,42,0,0,0,0,0,0,0,names,masculine
46,ru,6,265,206,0.7773584905660378,23,36,16,36,0,0,0,0,0,7,0,names,masculine
47,uk,6,265,219,0.8264150943396227,21,25,14,25,0,0,0,0,0,7,0,names,masculine
48,he,6,265,149,0.5622641509433962,116,0,116,0,0,0,0,0,0,0,0,names,masculine
49,es,6,265,167,0.630188679245283,29,69,0,0,29,69,0,0,0,0,0,names,feminine
50,fr,6,265,150,0.5660377358490566,39,76,0,0,39,76,0,0,0,0,0,names,feminine
51,it,6,265,124,0.4679245283018868,74,67,0,0,74,67,0,0,0,0,0,names,feminine
52,ar,6,265,127,0.47924528301886793,48,90,0,0,48,90,0,0,0,0,0,names,feminine
53,ru,6,265,50,0.18867924528301888,177,38,0,0,170,38,0,0,0,0,7,names,feminine
54,uk,6,265,84,0.3169811320754717,144,37,0,0,139,37,0,0,0,0,5,names,feminine
55,he,6,265,265,1.0,0,0,0,0,0,0,0,0,0,0,0,names,feminine
56,es,5,530,438,0.8264150943396227,76,16,6,7,70,9,0,0,0,0,0,romantic,same_gender
57,fr,5,530,474,0.8943396226415095,30,26,11,12,19,14,0,0,0,0,0,romantic,same_gender
58,it,5,530,381,0.7188679245283018,100,49,17,21,83,28,0,0,0,0,0,romantic,same_gender
59,ar,5,530,330,0.6226415094339622,95,105,7,31,88,74,0,0,0,0,0,romantic,same_gender
60,ru,5,530,278,0.5245283018867924,178,74,24,34,147,40,0,0,0,4,3,romantic,same_gender
61,uk,5,530,326,0.6150943396226415,140,64,30,25,107,39,0,0,0,1,2,romantic,same_gender
62,he,5,530,459,0.8660377358490566,71,0,64,0,7,0,0,0,0,0,0,romantic,same_gender
63,es,5,530,480,0.9056603773584906,35,15,4,6,31,9,0,0,0,0,0,romantic,diff_gender
64,fr,5,530,490,0.9245283018867925,17,23,9,12,8,11,0,0,0,0,0,romantic,diff_gender
65,it,5,530,404,0.7622641509433963,76,50,15,20,61,30,0,0,0,0,0,romantic,diff_gender
66,ar,5,530,335,0.6320754716981132,92,103,6,27,86,76,0,0,0,0,0,romantic,diff_gender
67,ru,5,530,307,0.5792452830188679,148,75,14,37,129,38,0,0,0,2,3,romantic,diff_gender
68,uk,5,530,356,0.6716981132075471,110,64,18,25,88,39,0,0,0,1,3,romantic,diff_gender
69,he,5,530,470,0.8867924528301887,60,0,56,0,4,0,0,0,0,0,0,romantic,diff_gender
