Code;Name;Anforderungsniveau;Männer;Frauen
271;Technische Forschung und Entwicklung;Fachkraefte;2900;1010
271;Technische Forschung und Entwicklung;Spezialisten;44920;7930
271;Technische Forschung und Entwicklung;Experten;214140;41350
272;Techn. Zeichnen, Konstruktion, Modellbau;Fachkraefte;59490;58210
272;Techn. Zeichnen, Konstruktion, Modellbau;Spezialisten;72840;12280
272;Techn. Zeichnen, Konstruktion, Modellbau;Experten;14850;1340
273;Technische Produktionsplanung,-steuerung;Fachkraefte;127380;43900
273;Technische Produktionsplanung,-steuerung;Spezialisten;201440;52670
273;Technische Produktionsplanung,-steuerung;Experten;149210;31160
281;Textiltechnik und -produktion;Helfer;5720;5410
281;Textiltechnik und -produktion;Fachkraefte;14560;8110
281;Textiltechnik und -produktion;Spezialisten;1410;510
281;Textiltechnik und -produktion;Experten;480;910
282;Textilverarbeitung;Helfer;1760;3200
282;Textilverarbeitung;Fachkraefte;11760;25350
282;Textilverarbeitung;Spezialisten;1730;4470
282;Textilverarbeitung;Experten;170;660
283;Leder-, Pelzherstellung u. -verarbeitung;Helfer;2730;2370
283;Leder-, Pelzherstellung u. -verarbeitung;Fachkraefte;7400;5880
283;Leder-, Pelzherstellung u. -verarbeitung;Spezialisten;1410;400
283;Leder-, Pelzherstellung u. -verarbeitung;Experten;x;x
291;Getränkeherstellung;Fachkraefte;11350;1300
291;Getränkeherstellung;Spezialisten;1860;120
291;Getränkeherstellung;Experten;410;50
292;Lebensmittel- u. Genussmittelherstellung;Helfer;68240;43480
292;Lebensmittel- u. Genussmittelherstellung;Fachkraefte;147290;60370
292;Lebensmittel- u. Genussmittelherstellung;Spezialisten;10970;2350
292;Lebensmittel- u. Genussmittelherstellung;Experten;1480;880
293;Speisenzubereitung;Helfer;99480;172380
293;Speisenzubereitung;Fachkraefte;152220;67030
293;Speisenzubereitung;Spezialisten;13340;2780
293;Speisenzubereitung;Experten;4540;1270
311;Bauplanung u. -überwachung, Architektur;Fachkraefte;9450;3490
311;Bauplanung u. -überwachung, Architektur;Spezialisten;37610;9970
311;Bauplanung u. -überwachung, Architektur;Experten;144470;72560
312;Vermessung und Kartografie;Fachkraefte;14910;6270
312;Vermessung und Kartografie;Spezialisten;4440;1840
312;Vermessung und Kartografie;Experten;5400;2060
321;Hochbau;Helfer;165490;1910
321;Hochbau;Fachkraefte;224300;1600
321;Hochbau;Spezialisten;27880;1770
321;Hochbau;Experten;8150;3800
322;Tiefbau;Helfer;41800;690
322;Tiefbau;Fachkraefte;101110;710
322;Tiefbau;Spezialisten;16230;1060
322;Tiefbau;Experten;6400;2170
331;Bodenverlegung;Helfer;7470;120
331;Bodenverlegung;Fachkraefte;43070;480
331;Bodenverlegung;Spezialisten;1070;x
332;Maler.,Stuckat.,Bauwerksabd,Bautenschutz;Helfer;25420;1750
332;Maler.,Stuckat.,Bauwerksabd,Bautenschutz;Fachkraefte;114720;8530
332;Maler.,Stuckat.,Bauwerksabd,Bautenschutz;Spezialisten;7360;690
333;Aus-,Trockenbau.Iso.Zimmer.Glas.Roll.bau;Helfer;47810;1130
333;Aus-,Trockenbau.Iso.Zimmer.Glas.Roll.bau;Fachkraefte;118090;3310
333;Aus-,Trockenbau.Iso.Zimmer.Glas.Roll.bau;Spezialisten;9050;330
341;Gebäudetechnik;Fachkraefte;292740;22240
341;Gebäudetechnik;Spezialisten;23120;1640
341;Gebäudetechnik;Experten;2650;600
342;Klempnerei,Sanitär,Heizung,Klimatechnik;Helfer;13620;230
342;Klempnerei,Sanitär,Heizung,Klimatechnik;Fachkraefte;212000;2220
342;Klempnerei,Sanitär,Heizung,Klimatechnik;Spezialisten;22040;480
342;Klempnerei,Sanitär,Heizung,Klimatechnik;Experten;1590;280
343;Ver- und Entsorgung;Helfer;48520;3190
343;Ver- und Entsorgung;Fachkraefte;111890;3710
343;Ver- und Entsorgung;Spezialisten;25680;1650
343;Ver- und Entsorgung;Experten;7870;1380
411;Mathematik und Statistik;Spezialisten;340;240
411;Mathematik und Statistik;Experten;5660;4320
412;Biologie;Fachkraefte;8280;22900
412;Biologie;Spezialisten;1980;2580
412;Biologie;Experten;10200;14720
413;Chemie;Helfer;44950;23190
413;Chemie;Fachkraefte;118320;63810
413;Chemie;Spezialisten;19000;6240
413;Chemie;Experten;21980;14300
414;Physik;Fachkraefte;14640;5140
414;Physik;Spezialisten;4790;830
414;Physik;Experten;14620;4590
421;Geologie, Geografie und Meteorologie;Fachkraefte;250;210
421;Geologie, Geografie und Meteorologie;Spezialisten;800;200
421;Geologie, Geografie und Meteorologie;Experten;7500;4680
422;Umweltschutztechnik;Fachkraefte;8900;1630
422;Umweltschutztechnik;Spezialisten;3360;980
422;Umweltschutztechnik;Experten;2840;1890
423;Umweltmanagement und -beratung;Fachkraefte;890;1220
423;Umweltmanagement und -beratung;Spezialisten;6910;3310
423;Umweltmanagement und -beratung;Experten;5780;4700
431;Informatik;Fachkraefte;126480;24240
431;Informatik;Spezialisten;87730;26570
431;Informatik;Experten;39900;11530
432;IT-Systemanalyse,Anwenderber,IT-Vertrieb;Fachkraefte;5480;1590
432;IT-Systemanalyse,Anwenderber,IT-Vertrieb;Spezialisten;62280;21010
432;IT-Systemanalyse,Anwenderber,IT-Vertrieb;Experten;115660;36170
433;IT-Netzwerkt.,-Koord.,-Administr.,-Orga.;Fachkraefte;780;120
433;IT-Netzwerkt.,-Koord.,-Administr.,-Orga.;Spezialisten;168260;35970
433;IT-Netzwerkt.,-Koord.,-Administr.,-Orga.;Experten;31390;6090
434;Softwareentwicklung und Programmierung;Fachkraefte;30620;5360
434;Softwareentwicklung und Programmierung;Spezialisten;62680;12280
434;Softwareentwicklung und Programmierung;Experten;204360;32330
511;Tech.Betrieb Eisenb.,Luft,Schiffsverkehr;Fachkraefte;12680;1150
511;Tech.Betrieb Eisenb.,Luft,Schiffsverkehr;Spezialisten;4930;270
511;Tech.Betrieb Eisenb.,Luft,Schiffsverkehr;Experten;1230;80
512;Überwachung,WartungVerkehrsinfrastruktur;Fachkraefte;53640;1780
512;Überwachung,WartungVerkehrsinfrastruktur;Spezialisten;2030;160
512;Überwachung,WartungVerkehrsinfrastruktur;Experten;850;170
513;Lagerwirt.,Post,Zustellung,Güterumschlag;Helfer;762110;303450
513;Lagerwirt.,Post,Zustellung,Güterumschlag;Fachkraefte;529600;149000
513;Lagerwirt.,Post,Zustellung,Güterumschlag;Spezialisten;14310;1810
513;Lagerwirt.,Post,Zustellung,Güterumschlag;Experten;11330;1850
514;Servicekräfte im Personenverkehr;Helfer;1320;2270
514;Servicekräfte im Personenverkehr;Fachkraefte;18000;36380
514;Servicekräfte im Personenverkehr;Spezialisten;1770;1100
515;Überwachung u. Steuerung Verkehrsbetrieb;Helfer;60;80
515;Überwachung u. Steuerung Verkehrsbetrieb;Fachkraefte;22960;4000
515;Überwachung u. Steuerung Verkehrsbetrieb;Spezialisten;27170;6670
515;Überwachung u. Steuerung Verkehrsbetrieb;Experten;5770;2040
516;Kaufleute - Verkehr und Logistik;Fachkraefte;87960;51310
516;Kaufleute - Verkehr und Logistik;Spezialisten;17620;13270
516;Kaufleute - Verkehr und Logistik;Experten;48310;14440
521;Fahrzeugführung im Straßenverkehr;Fachkraefte;911490;67410
522;Fahrzeugführung im Eisenbahnverkehr;Fachkraefte;39010;2380
523;Fahrzeugführung im Flugverkehr;Spezialisten;7090;620
523;Fahrzeugführung im Flugverkehr;Experten;4340;240
524;Fahrzeugführung im Schiffsverkehr;Fachkraefte;1990;170
524;Fahrzeugführung im Schiffsverkehr;Spezialisten;3880;270
524;Fahrzeugführung im Schiffsverkehr;Experten;1050;x
525;Bau- und Transportgeräteführung;Helfer;66000;2390
525;Bau- und Transportgeräteführung;Fachkraefte;82020;1030
525;Bau- und Transportgeräteführung;Spezialisten;2390;80
531;Obj.-,Pers.-,Brandschutz,Arbeitssicherh.;Helfer;84400;38470
531;Obj.-,Pers.-,Brandschutz,Arbeitssicherh.;Fachkraefte;131460;38080
531;Obj.-,Pers.-,Brandschutz,Arbeitssicherh.;Spezialisten;28510;5350
531;Obj.-,Pers.-,Brandschutz,Arbeitssicherh.;Experten;25130;3910
532;Polizei,Kriminald.,Gerichts,Justizvollz.;Helfer;1060;570
532;Polizei,Kriminald.,Gerichts,Justizvollz.;Fachkraefte;2560;1510
532;Polizei,Kriminald.,Gerichts,Justizvollz.;Spezialisten;320;200
532;Polizei,Kriminald.,Gerichts,Justizvollz.;Experten;180;250
533;Gewerbe,Gesundheitsaufsicht,Desinfektion;Fachkraefte;5500;4080
533;Gewerbe,Gesundheitsaufsicht,Desinfektion;Spezialisten;2420;3040
533;Gewerbe,Gesundheitsaufsicht,Desinfektion;Experten;60;x
541;Reinigung;Helfer;157290;551210
541;Reinigung;Fachkraefte;82870;82170
541;Reinigung;Spezialisten;6810;7060
611;Einkauf und Vertrieb;Fachkraefte;131830;147110
611;Einkauf und Vertrieb;Spezialisten;260050;130060
611;Einkauf und Vertrieb;Experten;148160;42100
612;Handel;Fachkraefte;81650;56940
612;Handel;Spezialisten;12950;9470
612;Handel;Experten;2680;1270
613;Immobilienwirtschaft,Facility-Management;Fachkraefte;16920;27950
613;Immobilienwirtschaft,Facility-Management;Spezialisten;31770;22570
613;Immobilienwirtschaft,Facility-Management;Experten;3000;1650
621;Verkauf (ohne Produktspezialisierung);Helfer;39680;77660
621;Verkauf (ohne Produktspezialisierung);Fachkraefte;298100;736790
621;Verkauf (ohne Produktspezialisierung);Spezialisten;17580;20320
621;Verkauf (ohne Produktspezialisierung);Experten;47810;45350
622;Verkauf Bekleid.,Elektro,KFZ,Hartwaren;Fachkraefte;166610;197070
623;Verkauf von Lebensmitteln;Helfer;11890;10690
623;Verkauf von Lebensmitteln;Fachkraefte;49390;244510
624;Verkauf drog.apotheken.Waren,Medizinbed.;Fachkraefte;7730;104510
625;Buch-Kunst-Antiquitäten-,Musikfachhandel;Fachkraefte;2100;8530
625;Buch-Kunst-Antiquitäten-,Musikfachhandel;Spezialisten;x;50
625;Buch-Kunst-Antiquitäten-,Musikfachhandel;Experten;x;x
631;Tourismus und Sport;Fachkraefte;16340;40940
631;Tourismus und Sport;Spezialisten;1200;1810
631;Tourismus und Sport;Experten;4910;3880
632;Hotellerie;Helfer;14270;60780
632;Hotellerie;Fachkraefte;26890;62400
632;Hotellerie;Spezialisten;3120;15430
632;Hotellerie;Experten;5700;3570
633;Gastronomie;Helfer;110000;157780
633;Gastronomie;Fachkraefte;92680;121950
633;Gastronomie;Spezialisten;5900;4490
633;Gastronomie;Experten;11080;8170
634;Veranstaltungsservice, -management;Helfer;6160;5260
634;Veranstaltungsservice, -management;Fachkraefte;3910;7560
634;Veranstaltungsservice, -management;Spezialisten;4450;8830
634;Veranstaltungsservice, -management;Experten;1230;2570
711;Geschäftsführung und Vorstand;Experten;184660;51980
712;Angeh. gesetzgeb. Körp., Interessenorg.;Experten;12350;6160
713;Unternehmensorganisation und -strategie;Fachkraefte;333770;520480
713;Unternehmensorganisation und -strategie;Spezialisten;281770;137530
713;Unternehmensorganisation und -strategie;Experten;309760;150840
714;Büro und Sekretariat;Helfer;90210;211620
714;Büro und Sekretariat;Fachkraefte;364310;1384110
714;Büro und Sekretariat;Spezialisten;31030;100660
714;Büro und Sekretariat;Experten;2160;4850
715;Personalwesen und -dienstleistung;Fachkraefte;21600;77900
715;Personalwesen und -dienstleistung;Spezialisten;23080;63240
715;Personalwesen und -dienstleistung;Experten;33590;80340
721;Versicherungs- u. Finanzdienstleistungen;Fachkraefte;235740;336240
721;Versicherungs- u. Finanzdienstleistungen;Spezialisten;48130;42180
721;Versicherungs- u. Finanzdienstleistungen;Experten;57300;32010
722;Rechnungswesen, Controlling und Revision;Fachkraefte;9410;41810
722;Rechnungswesen, Controlling und Revision;Spezialisten;82600;226130
722;Rechnungswesen, Controlling und Revision;Experten;87650;69870
723;Steuerberatung;Fachkraefte;31600;106360
723;Steuerberatung;Spezialisten;11410;23740
723;Steuerberatung;Experten;11750;14660
731;Rechtsberatung, -sprechung und -ordnung;Fachkraefte;6080;76930
731;Rechtsberatung, -sprechung und -ordnung;Spezialisten;6490;12660
731;Rechtsberatung, -sprechung und -ordnung;Experten;42740;47630
732;Verwaltung;Helfer;8530;18800
732;Verwaltung;Fachkraefte;170600;631480
732;Verwaltung;Spezialisten;42760;89510
732;Verwaltung;Experten;23900;26980
733;Medien-Dokumentations-Informationsdienst;Fachkraefte;8860;29850
733;Medien-Dokumentations-Informationsdienst;Spezialisten;600;1110
733;Medien-Dokumentations-Informationsdienst;Experten;4460;12810
811;Arzt- und Praxishilfe;Fachkraefte;18210;659590
811;Arzt- und Praxishilfe;Spezialisten;1830;29670
812;Medizinisches Laboratorium;Fachkraefte;12510;79570
812;Medizinisches Laboratorium;Spezialisten;1060;3850
812;Medizinisches Laboratorium;Experten;4900;5040
813;Gesundh.,Krankenpfl.,Rettungsd.Geburtsh.;Helfer;51000;172340
813;Gesundh.,Krankenpfl.,Rettungsd.Geburtsh.;Fachkraefte;200300;703740
813;Gesundh.,Krankenpfl.,Rettungsd.Geburtsh.;Spezialisten;17920;86390
813;Gesundh.,Krankenpfl.,Rettungsd.Geburtsh.;Experten;6120;21010
814;Human- und Zahnmedizin;Experten;150930;181700
815;Tiermedizin und Tierheilkunde;Fachkraefte;x;120
815;Tiermedizin und Tierheilkunde;Experten;3640;13490
816;Psychologie, nichtärztl. Psychotherapie;Spezialisten;130;690
816;Psychologie, nichtärztl. Psychotherapie;Experten;10770;48810
817;Nicht ärztliche Therapie und Heilkunde;Fachkraefte;7460;29940
817;Nicht ärztliche Therapie und Heilkunde;Spezialisten;50320;193990
817;Nicht ärztliche Therapie und Heilkunde;Experten;980;3930
818;Pharmazie;Fachkraefte;3700;72370
818;Pharmazie;Spezialisten;10800;14820
818;Pharmazie;Experten;14170;47110
821;Altenpflege;Helfer;59510;276490
821;Altenpflege;Fachkraefte;59990;240100
821;Altenpflege;Spezialisten;790;3730
821;Altenpflege;Experten;2390;4340
822;Ernährungs-,Gesundheitsberatung,Wellness;Fachkraefte;1190;2380
822;Ernährungs-,Gesundheitsberatung,Wellness;Spezialisten;3150;12320
822;Ernährungs-,Gesundheitsberatung,Wellness;Experten;1710;5570
823;Körperpflege;Helfer;5000;3400
823;Körperpflege;Fachkraefte;24030;115120
823;Körperpflege;Spezialisten;1830;8860
824;Bestattungswesen;Helfer;2790;1030
824;Bestattungswesen;Fachkraefte;4710;2760
824;Bestattungswesen;Spezialisten;510;920
824;Bestattungswesen;Experten;60;x
825;Medizin-, Orthopädie- und Rehatechnik;Fachkraefte;34660;68640
825;Medizin-, Orthopädie- und Rehatechnik;Spezialisten;16830;11190
825;Medizin-, Orthopädie- und Rehatechnik;Experten;2720;1750
831;Erziehung,Sozialarb.,Heilerziehungspfl.;Helfer;60980;258970
831;Erziehung,Sozialarb.,Heilerziehungspfl.;Fachkraefte;92710;592360
831;Erziehung,Sozialarb.,Heilerziehungspfl.;Spezialisten;80990;443030
831;Erziehung,Sozialarb.,Heilerziehungspfl.;Experten;83850;279740
832;Hauswirtschaft und Verbraucherberatung;Helfer;9350;100810
832;Hauswirtschaft und Verbraucherberatung;Fachkraefte;8380;134850
832;Hauswirtschaft und Verbraucherberatung;Spezialisten;1530;12180
833;Theologie und Gemeindearbeit;Fachkraefte;4390;7300
833;Theologie und Gemeindearbeit;Spezialisten;2290;3440
833;Theologie und Gemeindearbeit;Experten;10710;5310
841;Lehrtätigkeit an allgemeinbild. Schulen;Spezialisten;4870;18410
841;Lehrtätigkeit an allgemeinbild. Schulen;Experten;60830;150750
842;Lehrt.berufsb.Fächer,betr.Ausb.,Betr.päd;Spezialisten;26870;22630
842;Lehrt.berufsb.Fächer,betr.Ausb.,Betr.päd;Experten;16890;27540
843;Lehr-,Forschungstätigkeit an Hochschulen;Experten;139640;120800
844;Lehrtätigk. außerschul.Bildungseinricht.;Fachkraefte;1030;1170
844;Lehrtätigk. außerschul.Bildungseinricht.;Spezialisten;1750;1920
844;Lehrtätigk. außerschul.Bildungseinricht.;Experten;36450;53300
845;Fahr-,Sportunterricht außerschul. Bild.;Spezialisten;44810;23960
845;Fahr-,Sportunterricht außerschul. Bild.;Experten;1940;1710
911;Sprach-, Literaturwissenschaften;Experten;510;1110
912;Geisteswissenschaften;Spezialisten;360;220
912;Geisteswissenschaften;Experten;3320;3890
913;Gesellschaftswissenschaften;Helfer;2480;1340
913;Gesellschaftswissenschaften;Fachkraefte;220;410
913;Gesellschaftswissenschaften;Spezialisten;940;900
913;Gesellschaftswissenschaften;Experten;26120;67640
914;Wirtschaftswissenschaften;Experten;4010;3760
921;Werbung und Marketing;Fachkraefte;71250;117060
921;Werbung und Marketing;Spezialisten;141010;135390
921;Werbung und Marketing;Experten;15570;16810
922;Öffentlichkeitsarbeit;Spezialisten;11170;24250
922;Öffentlichkeitsarbeit;Experten;2620;3410
923;Verlags- und Medienwirtschaft;Fachkraefte;7300;14430
923;Verlags- und Medienwirtschaft;Spezialisten;1110;1500
923;Verlags- und Medienwirtschaft;Experten;2950;2980
924;Redaktion und Journalismus;Fachkraefte;3410;7060
924;Redaktion und Journalismus;Spezialisten;28470;33670
924;Redaktion und Journalismus;Experten;9320;10910
931;Produkt- und Industriedesign;Fachkraefte;970;1080
931;Produkt- und Industriedesign;Spezialisten;790;430
931;Produkt- und Industriedesign;Experten;6180;3330
932;Innenarchitektur, Raumausstattung;Fachkraefte;5560;9340
932;Innenarchitektur, Raumausstattung;Spezialisten;1570;2690
932;Innenarchitektur, Raumausstattung;Experten;1170;4450
933;Kunsthandwerk und bildende Kunst;Fachkraefte;880;1260
933;Kunsthandwerk und bildende Kunst;Spezialisten;730;920
933;Kunsthandwerk und bildende Kunst;Experten;1300;1730
934;Kunsthandwerkl. Keramik-, Glasgestaltung;Fachkraefte;1280;1080
934;Kunsthandwerkl. Keramik-, Glasgestaltung;Spezialisten;410;150
935;Kunsthandwerkliche Metallgestaltung;Fachkraefte;5920;5070
935;Kunsthandwerkliche Metallgestaltung;Spezialisten;510;360
935;Kunsthandwerkliche Metallgestaltung;Experten;x;90
936;Musikinstrumentenbau;Fachkraefte;2330;820
936;Musikinstrumentenbau;Spezialisten;180;70
936;Musikinstrumentenbau;Experten;x;x
941;Musik-, Gesang-, Dirigententätigkeiten;Spezialisten;280;70
941;Musik-, Gesang-, Dirigententätigkeiten;Experten;13690;10260
942;Schauspiel, Tanz und Bewegungskunst;Fachkraefte;50;110
942;Schauspiel, Tanz und Bewegungskunst;Spezialisten;8090;1320
942;Schauspiel, Tanz und Bewegungskunst;Experten;3860;4030
943;Moderation und Unterhaltung;Fachkraefte;4580;1580
943;Moderation und Unterhaltung;Spezialisten;320;210
943;Moderation und Unterhaltung;Experten;600;580
944;Theater-, Film- und Fernsehproduktion;Fachkraefte;2350;3100
944;Theater-, Film- und Fernsehproduktion;Spezialisten;2900;3160
944;Theater-, Film- und Fernsehproduktion;Experten;3830;3390
945;Veranstaltungs-, Kamera-, Tontechnik;Fachkraefte;19020;5960
945;Veranstaltungs-, Kamera-, Tontechnik;Spezialisten;18000;3830
945;Veranstaltungs-, Kamera-, Tontechnik;Experten;1660;270
946;Bühnen- und Kostümbildnerei, Requisite;Fachkraefte;760;2710
946;Bühnen- und Kostümbildnerei, Requisite;Spezialisten;870;1620
946;Bühnen- und Kostümbildnerei, Requisite;Experten;190;350
947;Museumstechnik und -management;Fachkraefte;460;940
947;Museumstechnik und -management;Spezialisten;620;490
947;Museumstechnik und -management;Experten;3650;4520
