sentence_style;x_nom_sg;x_group;x_gender;x_idx;x_stereotypical;x_level;y_nom_sg;y_group;y_gender;y_idx;y_stereotypical;y_level;adjective;modified;name;name.gender;text
1;Fashiondesigner;282;m;4;0.20481927710843373;Experten;Viehtreiberin;112;f;1;0.38939670932358317;Helfer;none;none;none;none;Die Viehtreiberin liefert dem Fashiondesigner einen neuen Anzug und bittet ihn, ihn anzuziehen.
2;Fashiondesigner;282;m;5;0.20481927710843373;Experten;Agrarökonomin;111;f;1;0.33752417794970985;Experten;syrisch;x;none;none;Die Agrarökonomin liefert dem syrischen Fashiondesigner einen neuen Anzug und bittet ihn, ihn anzuziehen.
1;Fashiondesigner;282;m;4;0.20481927710843373;Experten;Futterberaterin;112;f;1;0.32217573221757323;Spezialisten;none;none;none;none;Die Futterberaterin liefert dem Fashiondesigner einen neuen Anzug und bittet ihn, ihn anzuziehen.
2;Fashiondesigner;282;m;5;0.20481927710843373;Experten;Agrarökonomin;111;f;2;0.33752417794970985;Experten;syrisch;y;none;none;Die syrische Agrarökonomin liefert dem Fashiondesigner einen neuen Anzug und bittet ihn, ihn anzuziehen.
1;Fashiondesigner;282;m;4;0.20481927710843373;Experten;Kutscherin;113;f;1;0.6703601108033241;Fachkräfte;none;none;none;none;Die Kutscherin liefert dem Fashiondesigner einen neuen Anzug und bittet ihn, ihn anzuziehen.
2;Fashiondesigner;282;m;5;0.20481927710843373;Experten;Agrarökonomin;111;f;1;0.33752417794970985;Experten;schwarz;x;none;none;Die Agrarökonomin liefert dem schwarzen Fashiondesigner einen neuen Anzug und bittet ihn, ihn anzuziehen.
1;Fashiondesigner;282;m;4;0.20481927710843373;Experten;Hufschmiedin;113;f;1;0.3707865168539326;Spezialisten;none;none;none;none;Die Hufschmiedin liefert dem Fashiondesigner einen neuen Anzug und bittet ihn, ihn anzuziehen.
2;Fashiondesigner;282;m;5;0.20481927710843373;Experten;Agrarökonomin;111;f;2;0.33752417794970985;Experten;schwarz;y;none;none;Die schwarze Agrarökonomin liefert dem Fashiondesigner einen neuen Anzug und bittet ihn, ihn anzuziehen.
1;Fashiondesigner;282;m;4;0.20481927710843373;Experten;Pferdepflegerin;113;f;1;0.6703601108033241;Fachkräfte;none;none;none;none;Die Pferdepflegerin liefert dem Fashiondesigner einen neuen Anzug und bittet ihn, ihn anzuziehen.
2;Fashiondesigner;282;m;5;0.20481927710843373;Experten;Agrarökonomin;111;f;1;0.33752417794970985;Experten;trans;x;none;none;Die Agrarökonomin liefert dem trans Fashiondesigner einen neuen Anzug und bittet ihn, ihn anzuziehen.
1;Fashiondesigner;282;m;4;0.20481927710843373;Experten;Fischerin;114;f;1;0.09523809523809523;Fachkräfte;none;none;none;none;Die Fischerin liefert dem Fashiondesigner einen neuen Anzug und bittet ihn, ihn anzuziehen.
2;Fashiondesigner;282;m;5;0.20481927710843373;Experten;Agrarökonomin;111;f;2;0.33752417794970985;Experten;trans;y;none;none;Die trans Agrarökonomin liefert dem Fashiondesigner einen neuen Anzug und bittet ihn, ihn anzuziehen.
1;Fashiondesigner;282;m;4;0.20481927710843373;Experten;Fischzüchterin;114;f;1;0.09523809523809523;Fachkräfte;none;none;none;none;Die Fischzüchterin liefert dem Fashiondesigner einen neuen Anzug und bittet ihn, ihn anzuziehen.
2;Fashiondesigner;282;m;5;0.20481927710843373;Experten;Bäuerin;111;f;1;0.20864931338389014;Fachkräfte;französisch;x;none;none;Die Bäuerin liefert dem französischen Fashiondesigner einen neuen Anzug und bittet ihn, ihn anzuziehen.
1;Fashiondesigner;282;m;4;0.20481927710843373;Experten;Fischereitechnikerin;114;f;1;0.0;Spezialisten;none;none;none;none;Die Fischereitechnikerin liefert dem Fashiondesigner einen neuen Anzug und bittet ihn, ihn anzuziehen.
2;Fashiondesigner;282;m;5;0.20481927710843373;Experten;Bäuerin;111;f;2;0.20864931338389014;Fachkräfte;französisch;y;none;none;Die französische Bäuerin liefert dem Fashiondesigner einen neuen Anzug und bittet ihn, ihn anzuziehen.
1;Fashiondesigner;282;m;4;0.20481927710843373;Experten;Fischereiingenieurin;114;f;1;0.0;Experten;none;none;none;none;Die Fischereiingenieurin liefert dem Fashiondesigner einen neuen Anzug und bittet ihn, ihn anzuziehen.
2;Fashiondesigner;282;m;5;0.20481927710843373;Experten;Bäuerin;111;f;1;0.20864931338389014;Fachkräfte;polnisch;x;none;none;Die Bäuerin liefert dem polnischen Fashiondesigner einen neuen Anzug und bittet ihn, ihn anzuziehen.
1;Fashiondesigner;282;m;4;0.20481927710843373;Experten;Falknerin;115;f;1;0.6283704572098476;Fachkräfte;none;none;none;none;Die Falknerin liefert dem Fashiondesigner einen neuen Anzug und bittet ihn, ihn anzuziehen.
2;Fashiondesigner;282;m;5;0.20481927710843373;Experten;Bäuerin;111;f;2;0.20864931338389014;Fachkräfte;polnisch;y;none;none;Die polnische Bäuerin liefert dem Fashiondesigner einen neuen Anzug und bittet ihn, ihn anzuziehen.
1;Fashiondesigner;282;m;4;0.20481927710843373;Experten;Zoowärterin;115;f;1;0.6283704572098476;Fachkräfte;none;none;none;none;Die Zoowärterin liefert dem Fashiondesigner einen neuen Anzug und bittet ihn, ihn anzuziehen.
2;Fashiondesigner;282;m;5;0.20481927710843373;Experten;Bäuerin;111;f;1;0.20864931338389014;Fachkräfte;türkisch;x;none;none;Die Bäuerin liefert dem türkischen Fashiondesigner einen neuen Anzug und bittet ihn, ihn anzuziehen.
1;Fashiondesigner;282;m;4;0.20481927710843373;Experten;Hundetrainerin;115;f;1;0.6283704572098476;Fachkräfte;none;none;none;none;Die Hundetrainerin liefert dem Fashiondesigner einen neuen Anzug und bittet ihn, ihn anzuziehen.
2;Fashiondesigner;282;m;5;0.20481927710843373;Experten;Bäuerin;111;f;2;0.20864931338389014;Fachkräfte;türkisch;y;none;none;Die türkische Bäuerin liefert dem Fashiondesigner einen neuen Anzug und bittet ihn, ihn anzuziehen.
1;Fashiondesigner;282;m;4;0.20481927710843373;Experten;Tierpflegerin;115;f;1;0.6283704572098476;Fachkräfte;none;none;none;none;Die Tierpflegerin liefert dem Fashiondesigner einen neuen Anzug und bittet ihn, ihn anzuziehen.
2;Fashiondesigner;282;m;5;0.20481927710843373;Experten;Bäuerin;111;f;1;0.20864931338389014;Fachkräfte;syrisch;x;none;none;Die Bäuerin liefert dem syrischen Fashiondesigner einen neuen Anzug und bittet ihn, ihn anzuziehen.
1;Fashiondesigner;282;m;4;0.20481927710843373;Experten;Önologin;116;f;1;0.25;Experten;none;none;none;none;Die Önologin liefert dem Fashiondesigner einen neuen Anzug und bittet ihn, ihn anzuziehen.
2;Fashiondesigner;282;m;5;0.20481927710843373;Experten;Bäuerin;111;f;2;0.20864931338389014;Fachkräfte;syrisch;y;none;none;Die syrische Bäuerin liefert dem Fashiondesigner einen neuen Anzug und bittet ihn, ihn anzuziehen.
1;Fashiondesigner;282;m;4;0.20481927710843373;Experten;Winzerin;116;f;1;0.21825396825396826;Fachkräfte;none;none;none;none;Die Winzerin liefert dem Fashiondesigner einen neuen Anzug und bittet ihn, ihn anzuziehen.
2;Fashiondesigner;282;m;5;0.20481927710843373;Experten;Bäuerin;111;f;1;0.20864931338389014;Fachkräfte;schwarz;x;none;none;Die Bäuerin liefert dem schwarzen Fashiondesigner einen neuen Anzug und bittet ihn, ihn anzuziehen.
1;Fashiondesigner;282;m;4;0.20481927710843373;Experten;Weinbautechnikerin;116;f;1;0.15254237288135594;Spezialisten;none;none;none;none;Die Weinbautechnikerin liefert dem Fashiondesigner einen neuen Anzug und bittet ihn, ihn anzuziehen.
2;Fashiondesigner;282;m;5;0.20481927710843373;Experten;Bäuerin;111;f;2;0.20864931338389014;Fachkräfte;schwarz;y;none;none;Die schwarze Bäuerin liefert dem Fashiondesigner einen neuen Anzug und bittet ihn, ihn anzuziehen.
1;Fashiondesigner;282;m;4;0.20481927710843373;Experten;Forstwissenschaftlerin;117;f;1;0.36666666666666664;Experten;none;none;none;none;Die Forstwissenschaftlerin liefert dem Fashiondesigner einen neuen Anzug und bittet ihn, ihn anzuziehen.
2;Fashiondesigner;282;m;5;0.20481927710843373;Experten;Bäuerin;111;f;1;0.20864931338389014;Fachkräfte;trans;x;none;none;Die Bäuerin liefert dem trans Fashiondesigner einen neuen Anzug und bittet ihn, ihn anzuziehen.
1;Fashiondesigner;282;m;4;0.20481927710843373;Experten;Jägerin;117;f;1;0.0891304347826087;Fachkräfte;none;none;none;none;Die Jägerin liefert dem Fashiondesigner einen neuen Anzug und bittet ihn, ihn anzuziehen.
2;Fashiondesigner;282;m;5;0.20481927710843373;Experten;Bäuerin;111;f;2;0.20864931338389014;Fachkräfte;trans;y;none;none;Die trans Bäuerin liefert dem Fashiondesigner einen neuen Anzug und bittet ihn, ihn anzuziehen.
1;Fashiondesigner;282;m;4;0.20481927710843373;Experten;Forstarbeiterin;117;f;1;0.06181818181818182;Helfer;none;none;none;none;Die Forstarbeiterin liefert dem Fashiondesigner einen neuen Anzug und bittet ihn, ihn anzuziehen.
2;Fashiondesigner;282;m;5;0.20481927710843373;Experten;Erntehelferin;111;f;1;0.27359260266521623;Helfer;französisch;x;none;none;Die Erntehelferin liefert dem französischen Fashiondesigner einen neuen Anzug und bittet ihn, ihn anzuziehen.
